ml_1,mAU_1,ml_2,mAU_2
-0.012546,0,-0.01245,0
-0.011921,0.091568,-0.011825,0.275041
-0.011297,0.09196,-0.011201,0.275809
-0.010672,0.092226,-0.010576,0.276164
-0.010048,0.092666,-0.009952,0.276599
-0.009423,0.093317,-0.009327,0.277267
-0.008799,0.093447,-0.008703,0.277483
-0.008174,0.093737,-0.008078,0.278173
-0.00755,0.094289,-0.007454,0.278709
-0.006925,0.095072,-0.006829,0.279279
-0.0063,0.095811,-0.006204,0.279846
-0.005676,0.096428,-0.00558,0.280941
-0.005051,0.096157,-0.004955,0.281653
-0.004427,0.096052,-0.004331,0.282632
-0.003802,0.096237,-0.003706,0.28342
-0.003178,0.096443,-0.003082,0.283887
-0.002553,0.096575,-0.002457,0.283977
-0.001929,0.096203,-0.001833,0.284767
-0.001304,0.096308,-0.001208,0.286549
-0.00068,0.097077,-0.000583,0.287431
-0.000055,0.097538,0.000041,0.287755
0.00057,0.09798,0.000666,0.288105
0.001194,0.098081,0.00129,0.288802
0.001819,0.097821,0.001915,0.289501
0.002443,0.098124,0.002539,0.290623
0.003068,0.097982,0.003164,0.291042
0.003692,0.097671,0.003788,0.291371
0.004317,0.09803,0.004413,0.292301
0.004941,0.098155,0.005037,0.292719
0.005566,0.098029,0.005662,0.293378
0.00619,0.098674,0.006287,0.293771
0.006815,0.097985,0.006911,0.294175
0.00744,0.09774,0.007536,0.29473
0.008064,0.096977,0.00816,0.294567
0.008689,0.096449,0.008785,0.294746
0.009313,0.095807,0.009409,0.295374
0.009938,0.095587,0.010034,0.296467
0.010562,0.094731,0.010658,0.296903
0.011187,0.094463,0.011283,0.29747
0.011811,0.092926,0.011907,0.297139
0.012436,0.092613,0.012532,0.297081
0.01306,0.092668,0.013157,0.297558
0.013685,0.092936,0.013781,0.297496
0.01431,0.092418,0.014406,0.297454
0.014934,0.092576,0.01503,0.297557
0.015559,0.093012,0.015655,0.297314
0.016183,0.093834,0.016279,0.298026
0.016808,0.094836,0.016904,0.297929
0.017432,0.094322,0.017528,0.297446
0.018057,0.094035,0.018153,0.29664
0.018681,0.095148,0.018777,0.296166
0.019306,0.095196,0.019402,0.295622
0.01993,0.095263,0.020027,0.295236
0.020555,0.095017,0.020651,0.295391
0.02118,0.094931,0.021276,0.295361
0.021804,0.094163,0.0219,0.295359
0.022429,0.092991,0.022525,0.295238
0.023053,0.092248,0.023149,0.295345
0.023678,0.091493,0.023774,0.294936
0.024302,0.092188,0.024398,0.294541
0.024927,0.091952,0.025023,0.294072
0.025551,0.091457,0.025647,0.293586
0.026176,0.09189,0.026272,0.293547
0.0268,0.092454,0.026897,0.293975
0.027425,0.091746,0.027521,0.294746
0.028049,0.09148,0.028146,0.295058
0.028674,0.09212,0.02877,0.294403
0.029299,0.091379,0.029395,0.293234
0.029923,0.091353,0.030019,0.293298
0.030548,0.091466,0.030644,0.292854
0.031172,0.091168,0.031268,0.292625
0.031797,0.090629,0.031893,0.292363
0.032421,0.090466,0.032517,0.291831
0.033046,0.090538,0.033142,0.291157
0.03367,0.091167,0.033767,0.290655
0.034295,0.091304,0.034391,0.290144
0.034919,0.091923,0.035016,0.29011
0.035544,0.091582,0.03564,0.289456
0.036169,0.091647,0.036265,0.289433
0.036793,0.092724,0.036889,0.289256
0.037418,0.092709,0.037514,0.289685
0.038042,0.092849,0.038138,0.289456
0.038667,0.093537,0.038763,0.289825
0.039291,0.094494,0.039387,0.289224
0.039916,0.095802,0.040012,0.289199
0.04054,0.098395,0.040637,0.288679
0.041165,0.101748,0.041261,0.287772
0.041789,0.105211,0.041886,0.287174
0.042414,0.109798,0.04251,0.286696
0.043039,0.116982,0.043135,0.286756
0.043663,0.125128,0.043759,0.286641
0.044288,0.135016,0.044384,0.285603
0.044912,0.147266,0.045008,0.285208
0.045537,0.161749,0.045633,0.285208
0.046161,0.177352,0.046257,0.285264
0.046786,0.19411,0.046882,0.285447
0.04741,0.212455,0.047507,0.285863
0.048035,0.232688,0.048131,0.286321
0.048659,0.255501,0.048756,0.288336
0.049284,0.281587,0.04938,0.290911
0.049909,0.309501,0.050005,0.294037
0.050533,0.340578,0.050629,0.296805
0.051158,0.374509,0.051254,0.299468
0.051782,0.410693,0.051878,0.301316
0.052407,0.450076,0.052503,0.304502
0.053031,0.491429,0.053127,0.307429
0.053656,0.534577,0.053752,0.310836
0.05428,0.579322,0.054377,0.314123
0.054905,0.624032,0.055001,0.317732
0.055529,0.66871,0.055626,0.321057
0.056154,0.713783,0.05625,0.324615
0.056779,0.757766,0.056875,0.329345
0.057403,0.799794,0.057499,0.333773
0.058028,0.84252,0.058124,0.33779
0.058652,0.885941,0.058748,0.342521
0.059277,0.928582,0.059373,0.347438
0.059901,0.96888,0.059997,0.353584
0.060526,1.009576,0.060622,0.358766
0.06115,1.04839,0.061247,0.363038
0.061775,1.085619,0.061871,0.369683
0.062399,1.123985,0.062496,0.37567
0.063024,1.159308,0.06312,0.381435
0.063648,1.194761,0.063745,0.386505
0.064273,1.229078,0.064369,0.392098
0.064898,1.26171,0.064994,0.396738
0.065522,1.294569,0.065618,0.401753
0.066147,1.326183,0.066243,0.406554
0.066771,1.35745,0.066867,0.41136
0.067396,1.387164,0.067492,0.415427
0.06802,1.415878,0.068117,0.419242
0.068645,1.443609,0.068741,0.422896
0.069269,1.470349,0.069366,0.426742
0.069894,1.494848,0.06999,0.430427
0.070518,1.519702,0.070615,0.435673
0.071143,1.542973,0.071239,0.439383
0.071768,1.564462,0.071864,0.443638
0.072392,1.583935,0.072488,0.447478
0.073017,1.602823,0.073113,0.451056
0.073641,1.619699,0.073738,0.454973
0.074266,1.635297,0.074362,0.459032
0.07489,1.648412,0.074987,0.463201
0.075515,1.658586,0.075611,0.466742
0.076139,1.666447,0.076236,0.470083
0.076764,1.671485,0.07686,0.473211
0.077388,1.673982,0.077485,0.476653
0.078013,1.674676,0.078109,0.48001
0.078638,1.674092,0.078734,0.481144
0.079262,1.67075,0.079358,0.482793
0.079887,1.665401,0.079983,0.483414
0.080511,1.655717,0.080608,0.483675
0.081136,1.643306,0.081232,0.484157
0.08176,1.626803,0.081857,0.484153
0.082385,1.607128,0.082481,0.483807
0.083009,1.58575,0.083106,0.485004
0.083634,1.560454,0.08373,0.484732
0.084258,1.53343,0.084355,0.48494
0.084883,1.504621,0.084979,0.484291
0.085508,1.474922,0.085604,0.482763
0.086132,1.444846,0.086228,0.481406
0.086757,1.412348,0.086853,0.480119
0.087381,1.379253,0.087478,0.478739
0.088006,1.347379,0.088102,0.476543
0.08863,1.316908,0.088727,0.473764
0.089255,1.285053,0.089351,0.471254
0.089879,1.252411,0.089976,0.468717
0.090504,1.220563,0.0906,0.465368
0.091128,1.190625,0.091225,0.462091
0.091753,1.15982,0.091849,0.459325
0.092378,1.129996,0.092474,0.456633
0.093002,1.102847,0.093098,0.451911
0.093627,1.075314,0.093723,0.447196
0.094251,1.049366,0.094348,0.443466
0.094876,1.023596,0.094972,0.441095
0.0955,0.999091,0.095597,0.437564
0.096125,0.974989,0.096221,0.435111
0.096749,0.951168,0.096846,0.431917
0.097374,0.928121,0.09747,0.428467
0.097998,0.905691,0.098095,0.424952
0.098623,0.884386,0.098719,0.422257
0.099247,0.863365,0.099344,0.420146
0.099872,0.843117,0.099968,0.417274
0.100497,0.824005,0.100593,0.415632
0.101121,0.805281,0.101218,0.412871
0.101746,0.786134,0.101842,0.409518
0.10237,0.767527,0.102467,0.408049
0.102995,0.749903,0.103091,0.405364
0.103619,0.733279,0.103716,0.403183
0.104244,0.716976,0.10434,0.401084
0.104868,0.702145,0.104965,0.397597
0.105493,0.686907,0.105589,0.395534
0.106117,0.671067,0.106214,0.392904
0.106742,0.656163,0.106838,0.391128
0.107367,0.64199,0.107463,0.389084
0.107991,0.628562,0.108088,0.386724
0.108616,0.616321,0.108712,0.384006
0.10924,0.605079,0.109337,0.381589
0.109865,0.593134,0.109961,0.380612
0.110489,0.581811,0.110586,0.378796
0.111114,0.570513,0.11121,0.376521
0.111738,0.559812,0.111835,0.375012
0.112363,0.548723,0.112459,0.372661
0.112987,0.539353,0.113084,0.371385
0.113612,0.530063,0.113708,0.370424
0.114237,0.520208,0.114333,0.367401
0.114861,0.511352,0.114958,0.365009
0.115486,0.501658,0.115582,0.362123
0.11611,0.492343,0.116207,0.359714
0.116735,0.483161,0.116831,0.357952
0.117359,0.474804,0.117456,0.355507
0.117984,0.468854,0.11808,0.352855
0.118608,0.463191,0.118705,0.350653
0.119233,0.459091,0.119329,0.34802
0.119857,0.455099,0.119954,0.346285
0.120482,0.449844,0.120578,0.343909
0.121107,0.445084,0.121203,0.3407
0.121731,0.440128,0.121828,0.337661
0.122356,0.434201,0.122452,0.334187
0.12298,0.430048,0.123077,0.330487
0.123605,0.424798,0.123701,0.327326
0.124229,0.418257,0.124326,0.324758
0.124854,0.412714,0.12495,0.322998
0.125478,0.406696,0.125575,0.321381
0.126103,0.401391,0.126199,0.318622
0.126727,0.395533,0.126824,0.315579
0.127352,0.390515,0.127448,0.312599
0.127977,0.384805,0.128073,0.309936
0.128601,0.379611,0.128698,0.307863
